Bone_Mandiblez,Thyroidz,Brainstemz,Cavity_Oralz,Esophagusz,Eye_Lz,Eye_Rz,Glnd_Submand_Lz,Glnd_Submand_Rz,Larynxz,LN_L_Ibz,LN_L_II-IVz,LN_L_RPz,LN_L_Vz,LN_R_Ibz,LN_R_II-IVz,LN_R_RPz,LN_R_Vz,Lobe_Temporal_Lz,Lobe_Temporal_Rz,Musc_Constrictz,Parotid_Lz,Parotid_Rz,SpinalCordz,Tracheaz
[ 32 104 121],[19 28 53],[24 31 34],[18 76 70],[68 54 50],[10 20 22],[ 9 22 22],[21 31 27],[23 19 27],[23 34 45],[18 50 28],[73 67 67],[25 14 11],[30 39 44],[20 47 27],[73 75 67],[26 16 21],[27 40 53],[ 18 102  53],[ 18 103  51],[46 35 47],[21 44 32],[20 39 37],[112  71  19],[24 65 42]
[ 44  84 117],[ 6 15 39],[29 33 45],[26 77 81],[71 69 33],[12 26 24],[10 24 24],[19 25 19],[18 39 25],[27 43 43],[22 59 59],[80 94 61],[29 17 17],[26 40 60],[19 78 57],[77 87 57],[29 16 18],[29 62 66],[ 19 105  52],[ 19 116  58],[53 23 38],[35 54 41],[35 57 40],[116 109  29],[27 43 23]
[ 42 113 119],[26 25 46],[28 31 41],[31 87 79],[77 54 27],[10 23 24],[13 28 28],[16 33 27],[20 20 25],[59 68 42],[22 43 37],[85 64 53],[34 14 13],[30 53 71],[21 59 38],[86 96 68],[40 17 21],[26 43 46],[ 20 116  47],[ 19 116  51],[54 25 48],[26 46 30],[26 58 31],[142  91  28],[30 36 23]
[ 38 100 125],[18 45 58],[34 44 52],[ 27 108 156],[59 37 41],[12 26 27],[12 24 25],[20 35 29],[22 42 33],[58 60 44],[22 71 47],[86 75 82],[14 17 13],[18 51 64],[15 39 37],[61 59 59],[35 20 17],[30 74 59],[ 17 109  54],[ 17 108  59],[63 15 47],[37 70 50],[28 46 48],[116  62  37],[35 58 22]
[41 75 96],[17 31 61],[33 37 34],[ 29  67 148],[48 45 30],[12 25 27],[13 23 20],[22 27 29],[15 30 27],[70 63 38],[20 59 48],[60 59 55],[35 22 16],[17 27 46],[16 62 39],[85 71 60],[30 34 24],[18 63 55],[11 95 49],[13 89 53],[63 29 50],[30 50 42],[16 57 33],[107  82  24],[47 61 27]
[ 33 102 119],[19 29 30],[18 37 40],[ 25  57 122],[32 60 23],[14 25 26],[14 24 23],[22 26 24],[16 23 22],[59 57 47],[16 57 40],[83 71 74],[34 37 23],[17 31 52],[16 57 35],[76 89 75],[33 27 22],[16 29 49],[10 82 50],[10 90 50],[35 41 36],[30 48 43],[28 48 37],[109 137  27],[49 71 28]
[ 34 108 123],[22 25 60],[20 29 37],[35 85 85],[68 43 32],[12 23 24],[12 26 25],[14 30 19],[21 25 29],[34 33 35],[18 54 41],[74 83 64],[27 23 17],[27 65 52],[21 75 37],[60 72 71],[35 21 17],[49 87 62],[  8 109  54],[  8 108  49],[56 68 47],[33 44 48],[31 50 37],[122  72  22],[28 48 23]
[ 38  84 122],[23 32 61],[28 32 37],[ 35  74 100],[48 58 25],[12 23 23],[10 23 22],[18 36 17],[23 29 25],[25 42 51],[21 74 35],[74 86 71],[34 20 17],[33 71 54],[25 61 42],[82 68 56],[25 16 13],[48 87 69],[ 18 108  53],[ 20 106  46],[64 36 41],[35 50 50],[33 46 49],[115  92  33],[34 60 29]
[ 40 104 128],[22 21 57],[33 36 36],[32 76 89],[71 58 26],[11 25 25],[11 26 26],[22 31 29],[15 25 19],[63 76 45],[23 60 48],[78 59 51],[24 16 16],[31 42 41],[17 58 44],[100  65  62],[27 13 16],[31 35 38],[ 23 108  49],[ 24 107  52],[55 17 36],[22 49 38],[23 67 36],[108  81  18],[34 42 23]
[ 39 100 196],[31 48 73],[34 35 36],[ 26  77 145],[45 43 26],[10 25 24],[12 25 26],[23 27 21],[18 32 24],[33 42 42],[16 51 39],[81 88 67],[28 17 10],[38 35 49],[21 68 39],[ 85 103  83],[26 18 16],[42 51 59],[25 97 51],[27 96 49],[43 38 51],[26 45 40],[25 43 34],[105  75  31],[37 70 27]
[ 40 100 119],[25 29 50],[28 31 34],[ 25  78 126],[46 40 24],[10 27 27],[13 26 27],[21 35 32],[21 32 30],[33 43 44],[16 50 27],[60 81 70],[20 16 19],[47 89 68],[23 57 50],[59 80 51],[22 17 17],[30 69 61],[15 90 48],[16 93 52],[43 26 41],[24 41 29],[23 35 38],[119  92  40],[46 56 29]
[ 36  97 126],[10 27 48],[21 29 35],[ 32  65 129],[55 45 41],[13 24 24],[11 24 24],[24 25 22],[23 32 29],[31 40 44],[21 74 46],[82 91 73],[27 15 13],[28 41 43],[32 77 84],[64 64 64],[27 23 24],[22 52 50],[ 19 107  48],[ 19 100  50],[53 15 40],[24 47 41],[25 44 38],[108  83  19],[26 53 23]
[ 45 100 119],[23 32 59],[34 40 45],[ 26  71 128],[74 56 49],[12 25 24],[13 25 29],[19 20 22],[18 28 28],[55 66 52],[24 62 46],[82 71 63],[38 29 24],[49 66 71],[23 45 28],[91 73 77],[30 17 13],[24 40 39],[ 18 101  49],[ 16 135  57],[67 30 45],[36 67 59],[24 45 41],[140  83  25],[36 57 22]
[ 43  94 121],[12 17 47],[26 35 39],[32 83 84],[67 51 26],[12 26 29],[13 25 26],[21 33 25],[19 35 23],[34 63 48],[23 48 30],[112  68  63],[44 14 12],[51 59 77],[25 52 46],[60 65 51],[39 12 11],[25 40 38],[ 24 126  55],[ 15 105  54],[68 26 43],[28 57 38],[35 87 60],[129  78  31],[27 49 25]
[ 48  87 119],[19 31 52],[31 36 42],[ 35  68 124],[60 62 21],[11 22 23],[13 28 29],[18 30 25],[19 23 18],[62 62 45],[18 43 33],[98 66 52],[30 15 17],[41 71 56],[25 59 41],[52 69 58],[33 20 14],[24 45 39],[ 13 104  55],[ 20 113  57],[54 36 46],[28 43 36],[27 65 33],[106  72  23],[56 71 35]
