Bone_Mandiblez,Thyroidz,Brainstemz,Cavity_Oralz,Esophagusz,Eye_Lz,Eye_Rz,Glnd_Submand_Lz,Glnd_Submand_Rz,Larynxz,LN_L_Ibz,LN_L_II-IVz,LN_L_RPz,LN_L_Vz,LN_R_Ibz,LN_R_II-IVz,LN_R_RPz,LN_R_Vz,Lobe_Temporal_Lz,Lobe_Temporal_Rz,Musc_Constrictz,Parotid_Lz,Parotid_Rz,SpinalCordz,Tracheaz
"['HN004.hdf5', 33131]","['HN275.hdf5', 2755]","['HN003.hdf5', 11494]","['HN003.hdf5', 63890]","['HN003.hdf5', 10455]","['HN003.hdf5', 3015]","['HN003.hdf5', 2796]","['HN004.hdf5', 6340]","['HN006.hdf5', 4708]","['HN006.hdf5', 23539]","['HN003.hdf5', 8852]","['HN003.hdf5', 56642]","['HN003.hdf5', 1036]","['HN003.hdf5', 10510]","['HN003.hdf5', 8652]","['HN003.hdf5', 57237]","['HN003.hdf5', 1158]","['HN003.hdf5', 10272]","['HN003.hdf5', 30324]","['HN003.hdf5', 36182]","['HN003.hdf5', 10547]","['HN003.hdf5', 11599]","['HN003.hdf5', 11233]","['HN003.hdf5', 16200]","['HN003.hdf5', 8737]"
"['HN006.hdf5', 37718]","['HN277.hdf5', 1452]","['HN004.hdf5', 16226]","['HN004.hdf5', 105828]","['HN004.hdf5', 8473]","['HN004.hdf5', 4296]","['HN006.hdf5', 3561]","['HN006.hdf5', 3332]","['HN008.hdf5', 7156]","['HN008.hdf5', 21304]","['HN004.hdf5', 17478]","['HN004.hdf5', 71156]","['HN004.hdf5', 1626]","['HN006.hdf5', 12062]","['HN008.hdf5', 21195]","['HN004.hdf5', 81027]","['HN004.hdf5', 1513]","['HN004.hdf5', 15102]","['HN004.hdf5', 68594]","['HN004.hdf5', 73593]","['HN004.hdf5', 8813]","['HN004.hdf5', 21374]","['HN004.hdf5', 19154]","['HN004.hdf5', 22028]","['HN010.hdf5', 5875]"
"['HN008.hdf5', 61344]","['HN279.hdf5', 5294]","['HN006.hdf5', 14126]","['HN006.hdf5', 125948]","['HN006.hdf5', 11285]","['HN006.hdf5', 3609]","['HN008.hdf5', 5734]","['HN015.hdf5', 6473]","['HN009.hdf5', 4249]","['HN009.hdf5', 31728]","['HN006.hdf5', 11097]","['HN006.hdf5', 50371]","['HN006.hdf5', 1507]","['HN008.hdf5', 12928]","['HN009.hdf5', 13844]","['HN008.hdf5', 74254]","['HN008.hdf5', 2694]","['HN006.hdf5', 8366]","['HN006.hdf5', 38502]","['HN006.hdf5', 39097]","['HN006.hdf5', 9610]","['HN006.hdf5', 12614]","['HN006.hdf5', 12495]","['HN006.hdf5', 23036]","['HN022.hdf5', 9767]"
"['HN009.hdf5', 36921]","['HN281.hdf5', 7009]","['HN008.hdf5', 27293]","['HN008.hdf5', 310040]","['HN008.hdf5', 10376]","['HN008.hdf5', 5133]","['HN009.hdf5', 4663]","['HN016.hdf5', 10015]","['HN016.hdf5', 11470]","['HN016.hdf5', 40784]","['HN015.hdf5', 16945]","['HN008.hdf5', 40593]","['HN008.hdf5', 1399]","['HN009.hdf5', 17258]","['HN010.hdf5', 6584]","['HN010.hdf5', 59782]","['HN009.hdf5', 2432]","['HN008.hdf5', 17327]","['HN008.hdf5', 36330]","['HN008.hdf5', 35700]","['HN008.hdf5', 11405]","['HN008.hdf5', 24735]","['HN009.hdf5', 23118]","['HN008.hdf5', 29084]","['HN024.hdf5', 11123]"
"['HN010.hdf5', 20296]","['HN283.hdf5', 7734]","['HN009.hdf5', 15922]","['HN009.hdf5', 182374]","['HN009.hdf5', 6179]","['HN009.hdf5', 4721]","['HN010.hdf5', 3517]","['HN027.hdf5', 8305]","['HN020.hdf5', 5479]","['HN017.hdf5', 34221]","['HN017.hdf5', 15914]","['HN010.hdf5', 35405]","['HN009.hdf5', 2071]","['HN010.hdf5', 7309]","['HN019.hdf5', 10489]","['HN015.hdf5', 76253]","['HN010.hdf5', 2102]","['HN009.hdf5', 14878]","['HN009.hdf5', 28520]","['HN009.hdf5', 30818]","['HN009.hdf5', 9769]","['HN009.hdf5', 21648]","['HN010.hdf5', 10662]","['HN009.hdf5', 13976]","['HN025.hdf5', 19521]"
"['HN016.hdf5', 26429]","['HN286.hdf5', 8171]","['HN010.hdf5', 10984]","['HN010.hdf5', 89389]","['HN015.hdf5', 6242]","['HN015.hdf5', 4547]","['HN015.hdf5', 4557]","['HN029.hdf5', 5899]","['HN025.hdf5', 2872]","['HN019.hdf5', 22142]","['HN019.hdf5', 11446]","['HN015.hdf5', 72705]","['HN010.hdf5', 4183]","['HN015.hdf5', 5665]","['HN020.hdf5', 12393]","['HN017.hdf5', 110503]","['HN015.hdf5', 4720]","['HN010.hdf5', 7541]","['HN010.hdf5', 16534]","['HN010.hdf5', 16155]","['HN010.hdf5', 4349]","['HN015.hdf5', 21112]","['HN015.hdf5', 18260]","['HN015.hdf5', 22779]","['HN032.hdf5', 14521]"
"['HN017.hdf5', 31065]","['HN288.hdf5', 5761]","['HN015.hdf5', 9691]","['HN015.hdf5', 129833]","['HN016.hdf5', 11818]","['HN016.hdf5', 4559]","['HN019.hdf5', 4519]","['HN032.hdf5', 3014]","['HN027.hdf5', 6416]","['HN020.hdf5', 19797]","['HN020.hdf5', 12082]","['HN016.hdf5', 71025]","['HN015.hdf5', 2593]","['HN020.hdf5', 9306]","['HN021.hdf5', 10436]","['HN021.hdf5', 52011]","['HN016.hdf5', 3615]","['HN017.hdf5', 53954]","['HN016.hdf5', 22346]","['HN016.hdf5', 20254]","['HN015.hdf5', 11876]","['HN016.hdf5', 21990]","['HN016.hdf5', 20531]","['HN016.hdf5', 16913]","['HN038.hdf5', 9370]"
"['HN019.hdf5', 27530]","['HN290.hdf5', 12421]","['HN016.hdf5', 17226]","['HN016.hdf5', 158641]","['HN020.hdf5', 6841]","['HN017.hdf5', 4028]","['HN020.hdf5', 3271]","['HN033.hdf5', 3817]","['HN029.hdf5', 7007]","['HN021.hdf5', 21711]","['HN021.hdf5', 9722]","['HN017.hdf5', 94824]","['HN017.hdf5', 3074]","['HN021.hdf5', 24638]","['HN022.hdf5', 11512]","['HN024.hdf5', 51793]","['HN019.hdf5', 1908]","['HN022.hdf5', 20050]","['HN019.hdf5', 40245]","['HN020.hdf5', 55840]","['HN017.hdf5', 13740]","['HN017.hdf5', 28528]","['HN017.hdf5', 24122]","['HN019.hdf5', 24244]","['HN057.hdf5', 9873]"
"['HN020.hdf5', 31864]","['HN291.hdf5', 5467]","['HN020.hdf5', 20455]","['HN017.hdf5', 106162]","['HN022.hdf5', 12677]","['HN019.hdf5', 4520]","['HN021.hdf5', 4586]","['HN035.hdf5', 6745]","['HN032.hdf5', 4091]","['HN024.hdf5', 33594]","['HN022.hdf5', 13743]","['HN019.hdf5', 50274]","['HN019.hdf5', 1896]","['HN024.hdf5', 4600]","['HN024.hdf5', 12373]","['HN025.hdf5', 48786]","['HN020.hdf5', 865]","['HN024.hdf5', 3369]","['HN020.hdf5', 63301]","['HN021.hdf5', 44773]","['HN020.hdf5', 10036]","['HN019.hdf5', 15470]","['HN019.hdf5', 18290]","['HN020.hdf5', 9066]","['HN058.hdf5', 13024]"
"['HN021.hdf5', 39329]","['HN295.hdf5', 30522]","['HN022.hdf5', 18571]","['HN020.hdf5', 165530]","['HN025.hdf5', 5074]","['HN020.hdf5', 3871]","['HN022.hdf5', 4477]","['HN036.hdf5', 6248]","['HN033.hdf5', 3712]","['HN025.hdf5', 24615]","['HN024.hdf5', 7599]","['HN020.hdf5', 47254]","['HN020.hdf5', 982]","['HN026.hdf5', 6901]","['HN026.hdf5', 18869]","['HN028.hdf5', 101363]","['HN021.hdf5', 1560]","['HN026.hdf5', 9511]","['HN022.hdf5', 45580]","['HN022.hdf5', 46345]","['HN021.hdf5', 7117]","['HN021.hdf5', 16402]","['HN022.hdf5', 13027]","['HN021.hdf5', 21199]","['HN062.hdf5', 11705]"
